Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Niger,NER,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59,,,41.82,,,38.34,,,,,
Niger,NER,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,29.41,,,,,,,,,,,,,,,,,48.38,,,,,,,,,,,53.77,,,,,,,39.8,,,,,,62.67,,,,63.83,,,,,,79.52,42.71,,73.57,,,26.49,,,,,
Niger,NER,Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,11.52830189,,,,,,,,,,,,,,,,,7.684918348,,,,,,,,,,,25.02868947,,,,,,,,,,,,,45.03720664,,,,43.43760436,,,,,,75.94117001,30.16227483,,73.23796232,,,38.06875632,,,,,
Niger,NER,"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.06,,,81.7,,,39.77,,,,,
Niger,NER,"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.01,,,54.81,,,47.26,,,,,
Niger,NER,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.139,68.235,68.175,68.013,67.79,67.527,67.669,67.74,67.792,67.861,67.943,68.377,68.703,68.967,69.203,69.415,69.89,70.236,70.483,70.65,70.746,70.966,68.144,65.185,62.108,62.013,62.003,61.915,61.767,61.572,60.987,61.392,62.064
Niger,NER,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.675,56.758,56.707,56.565,56.374,56.152,56.277,56.344,56.411,56.48,56.56,56.959,57.26,57.503,57.717,57.924,58.364,58.686,58.931,59.094,59.208,59.42,56.895,54.396,51.944,51.866,51.861,51.785,51.656,51.484,50.991,51.486,51.967
Niger,NER,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,
Niger,NER,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,
Niger,NER,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,
Niger,NER,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,57.7,,,46.7,,,,,,,,,,
Niger,NER,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.04,,,,,,,,,,,,,
Niger,NER,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,6.7,,,,,,,,,,,,,
Niger,NER,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,
Niger,NER,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516.995829,2486.037143,2415.345277,2380.828452,2358.997924,2283.297122,2244.870902,2390.080673,2312.140134,2213.639837,2298.148531,2346.25935,2333.337866,2279.225756,2376.727743,2424.544895,2407.902707,2494.710757,2447.103058,2552.166255,2507.672347,2785.690368,2874.052317,3008.939926,3021.964861,3071.235261,3102.532572,3201.757187,3266.016095,3291.31215,3209.030593,3410.868429
Niger,NER,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.66,,,70.78,,,,,,,,,,
Niger,NER,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96302,11.84708,11.64482,11.60879,11.479,11.28043,11.13052,11.31122,10.99327,10.70258,10.82779,10.81387,10.69613,10.44738,10.5191,10.6116,10.65394,10.90268,10.78605,11.06999,10.94998,13.15602,10.43084,7.712071,7.604013,7.524235,7.527018,7.491262,7.557322,6.897623,7.16408,
Niger,NER,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68036,89.77015,89.91126,89.88832,90.00663,90.12114,90.23317,90.30302,90.58341,90.72651,90.7808,90.91785,91.02906,91.24286,91.38267,91.41013,91.34821,91.26759,91.40505,91.28176,91.44544,89.90027,94.73063,97.56827,97.64311,97.70012,97.73689,97.80789,97.81649,98.01609,97.93312,
Niger,NER,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02,,,,79.24,,,,,,90.75,66.04,,85.47,,,36.49,,,,,
Niger,NER,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.95779,89.06031,89.2306,89.24402,89.37009,89.52798,89.65887,89.59192,89.88702,90.12208,90.08481,90.15556,90.27232,90.50236,90.53408,90.49773,90.44347,90.26414,90.38213,90.18266,90.31508,88.35694,91.94041,94.66108,94.75292,94.82664,94.8334,94.88267,94.84538,95.29302,95.10245,
Niger,NER,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6916181,0.6986832,0.6924903,0.7244231,0.7415964,0.7464446,0.7511984,0.784366,0.756707,0.8029124,0.8753501,0.9139434,0.9405555,0.9312695,1.016103,1.071548,1.082424,1.111415,1.088743,1.223339,1.210269,1.469241,1.238305,0.9913153,1.014767,1.099179,1.070706,1.104238,1.108644,1.136351,1.202836,
Niger,NER,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.364,76.276,76.034,75.759,75.43,75.519,75.569,75.664,75.589,75.63,76.153,75.818,75.397,74.955,74.657,76.015,77.234,78.438,79.451,80.448,81.488,76.708,74.123,71.267,71.147,71.127,71.018,70.844,70.616,69.771,70.06,71.08
Niger,NER,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.98254,78.01292,78.08282,78.14979,78.13625,78.35654,78.41925,78.21832,78.40737,78.68403,78.66172,78.58694,78.72137,78.80779,78.48438,78.18704,78.08038,77.78558,77.60717,77.19238,77.06068,74.54763,74.04833,73.42438,73.04749,72.73293,72.40559,71.87001,71.31016,71.13869,70.71602,
Niger,NER,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.02,,,,,,,,,,,,,
Niger,NER,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,,,,,,
Niger,NER,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,,81.1,,,,,,,,,,,77.2,,75,,,,67.2,,,64.1,,,,62.1,,,,
Niger,NER,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",SI.POV.MDIM.17.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,,95.6,,,,,,,,,,,92.8,,93,,,,88.3,,,82.4,,,,81.1,,,,
Niger,NER,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,6,,,,,,,,,,,5.8,,7.7,,,,8.9,,,7.8,,,,7.6,,,,
Niger,NER,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,48.3,,,,,,,,,,,51,,45.7,,,,40.8,,,42.4,,,,45.7,,,,
Niger,NER,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38830478,25.11203425,26.05472434,26.43125381,27.02337389,29.28732215,30.56973767,30.40420642,30.49888139,31.31914718,31.85235947,32.49419744,30.93828505,28.98610423,29.25060914,33.26203585,31.51965515,33.33486499,35.56092035,35.27628265,36.98414875,,
Niger,NER,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4036844,5.77955378,6.39157432,7.60444828,8.35122772,9.51820943,9.87135756,11.18079482,13.00116663,13.09768719,12.96056235,14.25403766,13.72162175,13.81786036,13.60972935,13.29649092,13.12321946,13.86188847,14.73055759,14.39092251,15.1767712,,
Niger,NER,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3682642,8.34352493,8.35599804,7.62989426,7.34862614,12.34742451,13.54461861,8.63178158,9.1883316,8.69414043,9.17788696,8.29973888,6.24912119,6.55533648,5.40269423,4.58634472,5.68580914,9.66281414,8.3492775,9.37940311,10.23069668,,
Niger,NER,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82999617,0.89613854,1.01562262,1.2617128,1.43681598,1.96962535,2.08211623,2.73076998,3.05233238,2.91884418,2.87300786,2.6499887,2.97282186,2.89577974,3.2999404,6.3170693,3.31077011,4.15362193,3.55305389,4.76065826,5.48542464,,
Niger,NER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65891504,4.72659349,4.82717037,4.74740648,4.97818327,5.87749624,5.99335575,5.43105888,5.24640608,5.33850145,4.96100473,4.87323856,4.30732679,4.46636009,4.45377159,5.34745932,4.53239059,5.57411098,5.28844786,5.66862822,6.20069504,,
Niger,NER,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,24,25,34,34,40,43,48,48,53,54,56,58,59,57,54,51,53,54,58,57,64,
Niger,NER,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.3,4.4,4.2,4,4.5,4.3,4.2,4,3.9,3.9,3.7,3.6,3.6,3.5,3.4,3.5,3.5,3.4,3.3,,,
Niger,NER,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,1.6,,1.4,,,,,,3.4,0.3,0,0.2,0.1,0.2,2.6,0.3,0.5,0.5,1,,0.8,1.5,1.6,1.1,0.5
Niger,NER,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64444906,21.13426084,20.62407261,20.11388439,19.60369616,19.09350794,18.58331971,18.07313148,17.56294326,17.05275503,16.54256681,16.03237858,15.52219036,15.01200213,14.50181391,13.99162568,13.48143745,12.97124923,12.461061,11.95087278,11.44068455,,
Niger,NER,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,38.7,,,,,,46.7,,43.1,,,,,,39.9,37.9,34.6,33.5,40,36.2,38,33.1,34.6,35.8,32,,37.5,31.3,33.4,33.2,34.6
Niger,NER,"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.71065631,28.71065631,28.71065631,28.71065631,28.71065631,29.32523791,29.93981952,30.55440113,31.16898274,31.78356434,32.39814595,33.01272756,33.62730916,34.24189077,34.85647238,35.47105398,36.08563559,36.7002172,37.3147988,37.92938041,38.54396202,,
Niger,NER,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28218691,24.37976646,25.477346,26.57492554,27.67250508,29.02712842,30.40136422,31.79521247,33.20867318,34.64174635,36.09443197,37.56673006,39.05864059,40.57016359,42.10129903,43.65204694,45.2224073,46.81238012,48.4219654,50.05116313,51.69997332,,
Niger,NER,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,,,,,,
Niger,NER,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,85.6,85.2,85.8,88.6,88.8,87.6,87.8,89.7,84.9,83.7,87.7,85.4,87.6,85.2,83.2,81.8,72,,
Niger,NER,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,9,,,,,8.4,,,,,7.9,,,7.6,7.6,7.4,,
Niger,NER,Number of maternal deaths,SH.MMR.DTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,5500,5600,5700,5500,5400,5300,5200,5100,5100,4800,4800,4800,4700,4600,4600,4600,4400,4500,4400,4900,,
Niger,NER,"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,
Niger,NER,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.409490883,,,,,,,,,,0.494700015,,,,,0.495299995,,,,,,,,,,,,0.543900013,,,,,,,0.194600001,0.119999997,0.119999997,0.180000007,0.119999997,,,,,,,0.3,,,,,0.35,,,,,0.31,,0.39,,,,,
Niger,NER,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2,3,6,15,26,97,74,65,66,79,53,87,57,56,48,40,40,
Niger,NER,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.36,0.42,0.49,0.53,0.56,0.57,0.57,0.55,0.52,0.49,0.44,0.38,0.33,0.29,0.24,0.22,0.18,0.14,0.12,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,
Niger,NER,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,6,7,17,20,27,33,36,35,40,49,60,65,67,71,81,
Niger,NER,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.60586679,92.26542755,91.9250765,91.58481365,91.244639,90.90455255,90.5645543,90.22464425,89.8848224,89.54508875,89.2054433,88.86588605,88.526417,88.18703614,87.84774349,87.50853904,87.16942278,86.83039473,86.49145487,86.15260321,85.81383976,,
Niger,NER,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,21.9,21.7,22.1,21.6,21.8,21.6,21.6,21.3,21.3,21.4,21.4,21.5,21.5,21.5,21.5,21.4,21.3,21.1,21,,,
Niger,NER,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,,,,,,,,313.5,317.7,321.9,326.8,331.5,335.7,338.7,340.2,339.4,336.7,332.7,328.1,323.9,321.1,320.7,322.8,326.6,331,335.2,337.9,339,337.7,334.8,329.7,321.9,313.1,302.4,290.3,277.2,264.5,253,242.7,233.5,224.3,214,202.7,190.6,178.8,167.5,157.4,148.4,140.7,134.3,129,125,121.8,119.3,117.6,116.1,115.1,114.4,113.8,113.1,112.4,111.2,
Niger,NER,"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,20.6,20.5,20.4,20.4,20.4,20.5,20.5,20.6,20.7,20.7,20.7,20.6,20.5,20.3,20.1,19.9,19.7,19.5,19.2,18.9,18.7,18.5,18.2,18,17.9,17.7,17.5,17.2,17,16.8,16.6,
Niger,NER,Number of neonatal deaths,SH.DTH.NMRT,,,,,,,,,,,15711,16275,16806,17338,17824,18205,18477,18716,19126,19558,20098,20702,21301,21954,22822,23493,23950,24482,24766,25039,25416,25649,25825,25959,26055,26405,26716,26909,27032,27027,26983,26819,26633,26513,26468,26456,26489,26618,26835,27146,27604,28113,28668,29568,30458,31617,32894,34109,35304,36474,37537,38501,
Niger,NER,Number of infant deaths,SH.DTH.IMRT,,,,,,,,,31271,32381,33589,34867,36104,37338,38468,39441,40257,40943,41805,42965,44313,45873,47562,49373,51518,53624,55288,56793,57950,58732,59573,60169,60338,60251,59856,59468,59220,58966,58762,58581,58342,57859,57048,56090,55028,53990,53040,52342,51930,51755,51865,52191,52648,53459,54606,55912,57628,59504,61311,63101,64858,66430,
Niger,NER,Number of deaths ages 10-14 years,SH.DTH.1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588,3719,3848,3966,4081,4197,4308,4419,4531,4651,4780,4920,5060,5199,5359,5528,5711,5908,6102,6297,6484,6654,6806,6943,7096,7244,7393,7535,7676,7817,7970,8136,
Niger,NER,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,50.3,49.8,49.4,49,48.7,48.4,48.3,48.1,47.9,47.7,47.7,47.9,48,48.1,48.3,48.4,48.5,48.6,48.6,,,
Niger,NER,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,0.25,,,,,0.31,,,,,0.55,,,0.67,,,,
Niger,NER,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,,,,42,,,,,,,,,,
Niger,NER,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.204819277,1.204819277,,1.204819277,1.204819277,1.204819277,1.204819277,12.38938053,12.38938053,12.38938053,12.38938053,12.38938053,9.734513274,,13.27433628,13.27433628,13.27433628,13.27433628,13.27433628,14.61988304,16.95906433,16.95906433,16.95906433,16.95906433,25.90361446,25.90361446
Niger,NER,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.44432068,,,17.22141075,19.05752945,16.65031052,16.66684914,13.84549999,,,16.88376999,17.37597084,16.17733002,18.91250992,19.0896492,20.11651993,19.19202042,18.07670021,21.66150093,18.51218987,15.34716034,13.21516037,16.33996964,13.01280975,13.33253956,11.95261955,
Niger,NER,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.83824,52.80296,50.94294,58.7501,42.6507,51.05611,47.21979,51.99767,73.18089,65.02605,20.61046,17.13543,,,,,
Niger,NER,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92601013,,95.54554749,92.65615082,91.47682953,79.9516983,81.35826874,87.76450348,83.74356079,98.02857208,93.61457062,93.71849823,96.72305298,,,,
Niger,NER,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,0,0,0.111579999,0.141310006,0.16381,0.244540006,0.311690003,0.311830014,0.379779994,0.412290007,0.656029999,0.850149989,0.937740028,0.948239982,1.075590014,,1.049280047,,1.094619989,1.339110017,,,,,,,,,,,,,1.425340056,1.369390011,1.606160045,1.706359982,1.541980028,1.695060015,2.002190113,1.98774004,1.988669991,2.310770035,,,4.438630104,4.471920013,4.969460011,6.188769817,5.144690037,5.865530014,,
