Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
1,U.S. Agency for International Development,Bureau for Resilience and Food Security,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Economic Development,Agriculture,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,179492,"FY18 Development Food Assistance Program in Niger, Girma","The USAID Implementing Partner's Development Food Security Activity (DFSA) targets nearly 899,000 people using a multi-sectoral, layered, and participatory approach that is sensitive to gender, youth, persons with disabilities, and climate change. With interventions designed to strengthen maternal and child health, nutrition, agriculture, and civil society, the Implementing Partner intends to improve and sustain resilience and food and nutrition security among extremely poor and chronically vulnerable communities. This activity leverages gains and lessons learned from the Implementing Partners previous DFSA in Niger, which assisted approximately 600,000 people.",72DFFP18CA00003,2022,4162696,4006083
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,185628,Humanitarian Assistance,Funding for humanitarian assistance.,720BHA21GR00399,2022,4091864,3937916
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - United States,Citizens Network for Foreign Affairs,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,184533,Strengthening Market Systems Activity,Market & Nutrition Goal: Strengthen market systems such that household incomes and nutritional status are sustainably improved.,72068520CA00003,2022,3634584,3497840
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187206,Emergency Food Assistance,"Emergency food assistance, agriculture, economic recovery and market systems, water, sanitation and hygiene, and humanitarian coordination.",720BHA22GR00328,2022,3500000,3368320
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,United Nations Children's Fund,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,185403,Food Assistance,ESF and IDA nutrition activities in Niger.,720BHA22IO00009,2022,3300000,3175844
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,United Nations Children's Fund,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187648,Emergency humanitarian food assistance,New award for nutrition activities in Zinder region of Niger.,720BHA22IO00066,2022,3000000,2887131
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187331,Emergency Humanitarian Assistance,Emergency humanitarian food and nutirition assistance.,720BHA22GR00034,2022,3000000,2887131
1,U.S. Agency for International Development,Bureau for Africa,Church and Faith Based,Church and Faith Based - United States,IMA World Health,Health and Population,Basic Health,Basic nutrition,Health,Nutrition,Economic Support Fund,U.S. Agency for International Development,USAID,184098,Momentum Integrated Health Resilience (MIHR),"MOMENTUM Round 1 will support countries seeking to overcome the impacts of fragility on the population s health. At the country or community level, Round 1 seeks to reduce maternal and child mortality and increase self-reliance and resilience through service delivery, technical assistance and development and application of global and country specific learnings and best practices. At the global level, MOMENTUM Round 1 will contribute to the nascent learning on best practices and approaches for strengthening health service delivery and building resilience in fragile settings through the development and implementation of a robust learning agenda.",7200AA20CA00005,2022,3000000,2887131
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - United States,Mercy Corps,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,184911,Youth Connect,"The Youth Connect activity seeks to equip vulnerable young women and men in Niger with the skills, networks, and capital for increased strategic economic opportunities.",72068521CA00001,2022,2550000,2454061
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187481,Emergency Humanitarian Assistance,"Funding for health, nutrition, and protection.",720BHA22GR00309,2022,2500000,2405943
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,185834,Humanitarian Assistance,Provide vital health and protection services and support rapid response mechanism.,720BHA21GR00401,2022,2496460,2402536
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - International,Population Services International,Health and Population,Basic Health,Basic nutrition,Health,Nutrition,Economic Support Fund,U.S. Agency for International Development,USAID,184096,Momentum 2B: Private Healthcare Delivery,"MOMENTUM Private Healthcare Delivery. This is the fourth in a series of global health awards to accelerate reductions in maternal, newborn, and child mortality and morbidity in high-burden countries. This award falls under the MOMENTUM suite of projects, which aim to increase the capacity of host-government institutions and local non-governmental organizations to introduce, deliver, scale-up, and sustain the use of evidence-based, high-quality maternal, reproductive, newborn, and child health care and voluntary family planning.",7200AA20CA00007,2022,2000000,1924754
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Agriculture,Agriculture,Livestock/veterinary services,Economic Development,Agriculture,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59213,MCC Agriculture Project,Livestock Activity,NER-2750BXCOMD-AGRI-287,2022,2000000,1924755
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,World Food Program,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,187419,Emergency Humanitarian Assistance,Emergency humanitarian food and nutirition assistance.,720BHA22IO00104,2022,1991929,1916987
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - United States,Citizens Network for Foreign Affairs,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,Economic Support Fund,U.S. Agency for International Development,USAID,184533,Strengthening Market Systems Activity,Market & Nutrition Goal: Strengthen market systems such that household incomes and nutritional status are sustainably improved.,72068520CA00003,2022,1700000,1636041
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187476,Emergency Humanitarian Assistance,"Funding for a new award in agriculture, economic recovery and market systems, humanitarian policy, nutrition, and water, sanitation and hygiene.",720BHA22GR00338,2022,1700000,1636041
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of Agriculture,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170577,USAID Pay and Benefits,Administrative costs and operating expenses of USAID contributing to Payrolls and Benefits.,,2022,1549660,1491356
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Health,Nutrition,Public Law 480 Title II Grants,Department of Agriculture,AGR,212440,Title II Emergency Program,Title II Emergency Program through a partner of the US Agency for International Development.,720BHA22IO00104,2022,1546681,1488490
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - International,Population Services International,Health and Population,Basic Health,Malaria control,Health,Malaria,"Department of State, Global Health Programs",Department of State,STATE,179808,Impact Malaria (former APMSD),"PMI will help the NMCP and national MIP working group to update its MIP guidelines and training materials to reflect the 2012 WHO IPTp policy recommendations. PMI will also help ANC providers at public (and selected private) facilities in the PMI targeted areas to deliver IPTp and LLINs effectively as part of routine ANC services.  Activities will include in-service refresher training, job aides, and supportive supervision.",7200AA18C00014,2022,1500000,1443566
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187887,Humanitarian Assistance,"For a new award in agriculture, economic recovery and market systems, humanitarian policy, nutrition, and water, sanitation, and hygiene in Niger.",720BHA22GR00026,2022,1500000,1443566
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - United States,John Snow International,Health and Population,Basic Health,Basic nutrition,Health,Nutrition,"Department of State, Global Health Programs",Department of State,STATE,180865,USAID Advancing Nutrition,"USAID Advancing Nutrition is a five-year contract designed by the nutrition team in the Bureau for Global Health, in collaboration with the Bureau for Food Security and the Office of Food for Peace. The objective of the project is to support the implementation of USAIDs Multi-Sectoral Nutrition Strategy 2014-2025 as well as progress toward the Agencys goals of improving nutrition to save lives, build resilience, increase economic productivity and advance development. The purpose of USAID Advancing Nutrition is to strengthen the enabling environment for and support country-led scale-up of effective, integrated and sustainable nutrition-specific and nutrition-sensitive policies, programs/interventions and systems to improve nutritional status and health. This nutrition mechanism is designed to cover a broad range of activities that fall under the following three intermediate results (IRs): IR 1: Equitable provision and utilization of proven, quality nutrition interventions and services at scale IR 2: Country commitment and capacity for multi-sectoral nutrition programming strengthened IR 3: Global learning, evidence and innovative practices generated and applied to nutrition programs",7200AA18C00070,2022,1400000,1347328
1,U.S. Agency for International Development,Bureau for Conflict Prevention and Stabilization,Public and Private Partnerships,Public and Private Partnerships,Financial Services Volunteer Corps,Governance,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",Peace and Security,Conflict Mitigation and Reconciliation,Economic Support Fund,U.S. Agency for International Development,USAID,182478,SHIGA,"The aim of the project is for Nigers civil society to engage the government more effectively, and for key government institutions to be more effective in their mandates and meet the needs of citizens. To do this, SHIGA will strive to achieve three main objectives:  Objective 1: Civil society holds responsible government more actively and effectively, and creates demand for targeted reforms and better implementation by the government. FSVC will provide technical assistance to civil society organizations to build their capacity to advocate for reforms. The technical approach is modeled on the incubation paradigm widely used successfully in the private sector for start-ups.  Objective 2: Targeted government institutions are more accountable to citizens, and more efficient and transparent in their operations. Capacity building will rely less on formal training and more on learning-by-doing, led by policy experts.  Objective 3: Create and/or strengthen spaces for constructive engagement between citizens, civil society and the state to identify and implement targeted priority reforms.",72068519CA00004,2022,1339913,1289502
1,U.S. Agency for International Development,Bureau for Conflict Prevention and Stabilization,Public and Private Partnerships,Public and Private Partnerships,Financial Services Volunteer Corps,Governance,Government and Civil Society,Democratic participation and civil society,"Democracy, Human Rights, and Governance",Civil Society,Economic Support Fund,U.S. Agency for International Development,USAID,182478,SHIGA,"The aim of the project is for Nigers civil society to engage the government more effectively, and for key government institutions to be more effective in their mandates and meet the needs of citizens. To do this, SHIGA will strive to achieve three main objectives:  Objective 1: Civil society holds responsible government more actively and effectively, and creates demand for targeted reforms and better implementation by the government. FSVC will provide technical assistance to civil society organizations to build their capacity to advocate for reforms. The technical approach is modeled on the incubation paradigm widely used successfully in the private sector for start-ups.  Objective 2: Targeted government institutions are more accountable to citizens, and more efficient and transparent in their operations. Capacity building will rely less on formal training and more on learning-by-doing, led by policy experts.  Objective 3: Create and/or strengthen spaces for constructive engagement between citizens, civil society and the state to identify and implement targeted priority reforms.",72068519CA00004,2022,1339913,1289502
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187274,Emergency Food Assistance,"The goal is to ensure all displaced and conflict affected households have equal access to emergency shelter, non-food items (NFI), food and protection assistance and opportunities to restart their livelihoods, while strengthening the capacities of the communities to face future shock and reduce the risks for intercommunity conflicts. The total number of beneficiaries that will be supported under this award is 23,736 individuals.",720BHA22GR00337,2022,1300000,1251090
2,Department of State,Political-Military Affairs,NGO,NGO - Non United States,Mines Advisory Group,Governance,"Conflict, Peace, and Security",Removal of land mines and explosive remnants of war,Peace and Security,Stabilization Operations and Security Sector Reform,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,99946,Physical Security and Stockpile Management (PSSM) in Niger,Physical Security and Stockpile Management (PSSM) in Niger [through Mines Advisory Group],SPMWRA20GR0069,2022,1225204,1179109
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60942,MCC Program Administration and Control,Program Management & Support,NER-2750BXCOMD-PGM ADMIN-82,2022,1202377,1157140
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of State,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,186050,ICASS Costs,International Cooperative Administrative Support Services (ICASS) applies to the management and funding of all shared administrative services abroad and related costs at participating agencies headquarters.,683-MO-ICASS-22-OE,2022,1127373,1084959
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,SoCha LLC,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,184334,Program Design and Learning,"Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded programs. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, or the preparation of strategic plans and other short-term programming tasks. Note: All such activities that are carried out by partners as an integral part of their monitoring and evaluation efforts for programs funded under other sub-elements should be included within those sub-elements.",PO.1,2022,1106989,1065341
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Futures Group Global,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,Economic Support Fund,U.S. Agency for International Development,USAID,181319,Catalyze Blended Capital Investment Platform,"This BAA is intended to address the challenge of how to most effectively increase private investment, in a developing country where private funds currently only flow to traditional asset classes (e.g. debt and equity in sovereign and investment grade borrowers) in order to address the gap between the amount of investment needed in the countries where USAID works, and the public sectors ability to finance these projects. Increasing private investment will require addressing problems with supply (those with funds to invest), demand (those seeking to receive finance), and intermediation (those who match supply with demand), as well as improving the overall enabling environment.",7200AA19C00080,2022,1100000,1058615
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187478,Emergency Humanitarian Assistance,"Funding for economic recovery and market systems, agriculture, shelter and settlements, and multi purpose cash assistance.",720BHA22GR00225,2022,1100000,1058615
1,U.S. Agency for International Development,Bureau for Conflict Prevention and Stabilization,NGO,NGO - United States,Search for Common Ground,Governance,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",Peace and Security,Conflict Mitigation and Reconciliation,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,183224,Conflict Mitigation and Reconicialtion Activity,"Requisition to award the Niger""On est ensemble"" Conflict Mitigation and Reconicialtion Activity",72068520CA00004,2022,1000000,962377
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of Health and Human Services,Health and Population,Basic Health,Basic nutrition,Health,Nutrition,"Department of State, Global Health Programs",Department of State,STATE,188189,Nutrition,"Increase availability and use of proven nutrition interventions to reduce mortality, morbidity, and food insecurity, including nutrition education to improve maternal diets, nutrition during pregnancy, exclusive breastfeeding, and infant and young child feeding practices; fortified or biofortified staple foods, specialized food products, and community gardens to improve consumption of quality food; and delivery of nutrition services including micronutrient supplementation and community management of acute malnutrition. Strengthen host country capacity by advancing supportive nutrition and food security policies and improving nutrition information systems.",HL.9,2022,1000000,962377
1,U.S. Agency for International Development,Bureau for Africa,Multilateral,Multilateral - United Nations,World Health Organisation,Health and Population,HIV/AIDS,STD control including HIV/AIDS,Health,HIV/AIDS,Economic Support Fund,U.S. Agency for International Development,USAID,185469,Global Health Funding,Fundiong for health programming,7200GH21IO00005,2022,1000000,962377
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,176048,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,HA.1,2022,1000000,962377
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,185308,Emergency Humanitarian Assistance,"Fudning to support a humanitarian coordination, information management, and assessments (HCIMA).",720BHA22GR00013,2022,1000000,962378
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,United Nations Children's Fund,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Economic Support Fund,U.S. Agency for International Development,USAID,185403,Food Assistance,ESF and IDA nutrition activities in Niger.,720BHA22IO00009,2022,1000000,962377
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Infrastructure,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,61227,MCC TRANSPORT INFRASTRUCTURE PROJECT,Not Applicable,NER-2750BXDILD-TRANSPORTI-NA,2022,997455,959928
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,187629,Emergency food assistance,Emergency humanitarian food and nutirition assistance,720BHA22GR00072,2022,980100,943226
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,Disaster Readiness,Public Law 480 Title II Grants,Department of Agriculture,AGR,177286,Disaster Readiness,"The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.2,2022,942938,907462
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,179240,"Development Food Assistance Program in Niger, Hamzari","With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2022,910203,875958
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Enterprise - United States Redacted,Health and Population,Basic Health,Malaria control,Health,Malaria,"Department of State, Global Health Programs",Department of State,STATE,179233,Demographic and Health Surveys (DHS-8),"The Demographic and Health Surveys (DHS-8) Program assists participating countries in implementing household and facility-based surveys, analyzing data stemming from these surveys, and facilitating use of these data to support evidence-informed decision making. The DHS-8 contract will continue to be USAID's primary implementation mechanism for demographic and health data collection with activities yielding improved tools, methods, partnerships, and technical guidance to collect quality population, health, and nutrition data. Project activities will also increase in-country individual and institutional capacity for identification of data needs and for survey design, management, and data collection to meet those needs. DHS-8 will disseminate program survey data and information through multiple mechanisms including country specific DHS reports, curricula for professionals, peer reviewed journal publications that use DHS data, and the DHS website. These dissemination activities improve the availability of DHS Program survey data and information, advance analysis and synthesis of DHS Program survey data, and improve facilitation of DHS Program data use among stakeholders worldwide. Through the project's capacity building and dissemination activities, DHS-8 will continue to build on past investment and support countries on their transition to self-reliance.",7200AA18C00083,2022,885000,851704
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Quintical Ltd.,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,Economic Support Fund,U.S. Agency for International Development,USAID,182070,MT4D Project,"Project and will promote low-cost leasing, use and ownership of smartphones with an emphasis on rural communities. The technology will initially be piloted in Burkina Faso before later scaling the solution in Burkina Faso and then later in Niger too.Keos aim to bring enhanced economic opportunity to low income families in developing countries through the innovative use of smartphone technology.",72068519CA00008,2022,874335,841440
